Link,Primary,Button,Text,Icon,Background
https://www.mayoclinic.org/,#003EA5,#003EA5,#0D0D0D,#030303,#EBEFF8
https://my.clevelandclinic.org/,#0078C1,#0078C1,#AEC7E0,#F2F2F2,#FFFFFF
https://www.hopkinsmedicine.org/,#0077D3,#0077D3,#A29DA8,#FFCC00,#EAEFF2
https://www.medexpress.com/,#3F5B73,#3F5B73,#BFA584,#F2F2F2,#E9E1D4
https://trustcarehealth.com/,#97E5E9,#FFFFFF,#456184,#43D9D9,#62E1FA
https://www.rush.edu/,#03A66A,#F2CB05,#6B6E63,#454545,#F2F2F2
https://www.nih.gov/,#3B73B0,#123B73,#9F8B84,#878787,#F1F2ED
http://www.xpressmedical.net/,#008298,#F2762E,#A7ADBE,#008298,#F2F2F2
https://www.marylandphysicianscare.com/,#1A4480,#D83933,#AEAEAE,#1A4480,#FFFFFF
https://www.diabetes.org/,#AA182B,#AA182B,#333333,#726E71,#FFFFFF
https://www.icliniq.com/en_US/#gref,#0A52E5,#F25D27,#BBBABC,#A6A6A6,#FFFFFF
https://nextcare.com/,#294B67,#D95B5B,#294B67,#73B7CC,#F6F6F6
https://www.myrighttime.com/,#034C8C,#FFD657,#95999D,#034C8C,#F2F2F2
https://stanfordhealthcare.org/,#8c1515,#007c92,#4d4f53,#8c1515,#ffffff
https://www.altusemergency.com/,#00c1cf,#dd2025,#1a1a1a,#ffffff,#ffffff
https://healthcare.ascension.org/Specialty-Care/Emergency-Care,#1b4297,#1b4297,#222222,#ffffff,#ffffff
https://baptisthealth.net/en,#006450,#ffd452,#2a3240,#006a51,#ffffff
https://www.bswhealth.com/locations/dallas,#30aad3,#008fbe,#3e3e3e,#001e61,#53575a
https://clinicalcenter.nih.gov/rmd/index.html,#2751a5,#b8b8b8,#333333,#2751a5,#f7f7f7
https://www.childrenshospital.org/#,#003087,#003087,#4a4a4a,#003087,#ffffff
https://www.cedars-sinai.org/,#2ea0ad,#a81d36,#1b1c1c,#a81d36,#ffffff
https://www.dukehealth.org/hospitals/duke-university-hospital,#212121,#00539b,#474747,#00539b,#f5f5f5
https://www.medstarhealth.org/medstar-emergency-physicians/locations/medstar-georgetown-university-hospital/,#00205c,#0073cf,#404040,#404040,#ffffff
https://www.gwhospital.com/,#144b86,#1375b8,#1271af,#ffffff,#ffffff
https://www.houstonmethodist.org/,#244568,#ffffff,#749abb,#1c5183,#ffffff
https://nyulangone.org/,#580f8b,#58108b,#443051,#580f8b,#ffffff
http://spinecentersofamerica.com/,#88abd1,#c40000,#231f20,#d70000,#e5edf6
https://www.columbiaspine.org/,#014586,#0066cc,#666666,#ffffff,#ffffff
https://www.treatingpain.com/,#40325d,#2373cc,#58595b,#3b2e56,#ffffff
https://www.anaheimregionalmc.com/Clinical-Services/Heart-Center.aspx,#a1d3d4,#330072,#002395,#330072,#ffffff
https://freshysites.com/web-design-development/best-healthcare-websites/,#0c7696,#006552,#222222,#ffffff,#ffffff
https://www.gwcim.com/,#2980ba,#8bc53f,#ffffff,#5e5e5e,#f9f9f9
https://nationalholistic.com/,#c5c8b3,#828d77,#292a2c,#6a7f7f,#ffffff
https://www.parsleyhealth.com/,#2c445c,#4f7f71,#333333,#64814f,#f8f6f2
https://www.atipt.com/therapy-services,#e5002b,#4f7f71,#121212,#161616,#efefef
https://www.childrenscolorado.org/,#052754,#1b90cf,#333333,#30857e,#f7f7f3
https://www.sentara.com/,#077cb2,#057db3,#067aad,#007db3,#d0d0d0
https://www.hss.edu/womens-sports.htm,#0074ca,#0075bb,#272725,#0387ce,#ffffff
https://www.cfosm.com/,#003263,#c12e31,#154277,#143f71,#ffffff
https://www.nm.org/locations/bluhm-cardiovascular-institute-at-northwestern-memorial-hospital,#63589e,#02778a,#232526,#4d68a3,#f5f5f5
https://www.womenshealthtx.com/news/womens-health-tx-welcomes-largest-san-antonio-based-obgyn-practice/,#0279bd,#6992a2,#8a8c8f,#1e80c3,#ffffff
https://justwalkinmedicalcare.com/,#2ca3f2,#0c70c3,#333333,#3d8eff,#f7f7f7
https://www.bmc.org/,#01566e,#41a29c,#00556f,#f1f8fb,#ffffff
