,items,support,ordered_statistics
0,frozenset({'Alice Blue'}),0.052763819095477386,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'Alice Blue'}), confidence=0.052763819095477386, lift=1.0)]"
1,frozenset({'Azure'}),0.010050251256281407,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'Azure'}), confidence=0.010050251256281407, lift=1.0)]"
2,frozenset({'Beige'}),0.01507537688442211,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'Beige'}), confidence=0.01507537688442211, lift=1.0)]"
3,frozenset({'Black'}),0.3768844221105528,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'Black'}), confidence=0.3768844221105528, lift=1.0)]"
4,frozenset({'Brown'}),0.01256281407035176,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'Brown'}), confidence=0.01256281407035176, lift=1.0)]"
5,frozenset({'Coral'}),0.010050251256281407,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'Coral'}), confidence=0.010050251256281407, lift=1.0)]"
6,frozenset({'Cornflower Blue'}),0.01256281407035176,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'Cornflower Blue'}), confidence=0.01256281407035176, lift=1.0)]"
7,frozenset({'Crimson'}),0.02512562814070352,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'Crimson'}), confidence=0.02512562814070352, lift=1.0)]"
8,frozenset({'Dark Gray'}),0.04020100502512563,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'Dark Gray'}), confidence=0.04020100502512563, lift=1.0)]"
9,frozenset({'Dark Khaki'}),0.022613065326633167,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'Dark Khaki'}), confidence=0.022613065326633167, lift=1.0)]"
10,frozenset({'Dark Olive Green'}),0.017587939698492462,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'Dark Olive Green'}), confidence=0.017587939698492462, lift=1.0)]"
11,frozenset({'Dark Salmon'}),0.017587939698492462,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'Dark Salmon'}), confidence=0.017587939698492462, lift=1.0)]"
12,frozenset({'Dark Sea Green'}),0.01256281407035176,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'Dark Sea Green'}), confidence=0.01256281407035176, lift=1.0)]"
13,frozenset({'Dark Slate Blue'}),0.10552763819095477,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'Dark Slate Blue'}), confidence=0.10552763819095477, lift=1.0)]"
14,frozenset({'Dark Slate Gray'}),0.07035175879396985,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'Dark Slate Gray'}), confidence=0.07035175879396985, lift=1.0)]"
15,frozenset({'Deep Sky Blue'}),0.01256281407035176,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'Deep Sky Blue'}), confidence=0.01256281407035176, lift=1.0)]"
16,frozenset({'Dim Gray'}),0.1407035175879397,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'Dim Gray'}), confidence=0.1407035175879397, lift=1.0)]"
17,frozenset({'Dodger Blue'}),0.04020100502512563,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'Dodger Blue'}), confidence=0.04020100502512563, lift=1.0)]"
18,frozenset({'Firebrick'}),0.01256281407035176,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'Firebrick'}), confidence=0.01256281407035176, lift=1.0)]"
19,frozenset({'Floral White'}),0.010050251256281407,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'Floral White'}), confidence=0.010050251256281407, lift=1.0)]"
20,frozenset({'Forest Green'}),0.010050251256281407,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'Forest Green'}), confidence=0.010050251256281407, lift=1.0)]"
21,frozenset({'Gainsboro'}),0.02763819095477387,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'Gainsboro'}), confidence=0.02763819095477387, lift=1.0)]"
22,frozenset({'Ghost White'}),0.04522613065326633,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'Ghost White'}), confidence=0.04522613065326633, lift=1.0)]"
23,frozenset({'Gold'}),0.010050251256281407,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'Gold'}), confidence=0.010050251256281407, lift=1.0)]"
24,frozenset({'Goldenrod'}),0.022613065326633167,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'Goldenrod'}), confidence=0.022613065326633167, lift=1.0)]"
25,frozenset({'Gray'}),0.01507537688442211,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'Gray'}), confidence=0.01507537688442211, lift=1.0)]"
26,frozenset({'Ivory'}),0.010050251256281407,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'Ivory'}), confidence=0.010050251256281407, lift=1.0)]"
27,frozenset({'Lavender'}),0.07035175879396985,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'Lavender'}), confidence=0.07035175879396985, lift=1.0)]"
28,frozenset({'Lavender Blush'}),0.01507537688442211,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'Lavender Blush'}), confidence=0.01507537688442211, lift=1.0)]"
29,frozenset({'Light Gray'}),0.01256281407035176,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'Light Gray'}), confidence=0.01256281407035176, lift=1.0)]"
30,frozenset({'Light Sky Blue'}),0.01507537688442211,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'Light Sky Blue'}), confidence=0.01507537688442211, lift=1.0)]"
31,frozenset({'Light Slate Gray'}),0.04773869346733668,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'Light Slate Gray'}), confidence=0.04773869346733668, lift=1.0)]"
32,frozenset({'Light Steel Blue'}),0.03768844221105527,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'Light Steel Blue'}), confidence=0.03768844221105527, lift=1.0)]"
33,frozenset({'Maroon'}),0.052763819095477386,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'Maroon'}), confidence=0.052763819095477386, lift=1.0)]"
34,frozenset({'Medium Slate Blue'}),0.010050251256281407,"[OrderedStatistic(items_base=frozenset(), items_add=frozenset({'Medium Slate Blue'}), confidence=0.010050251256281407, lift=1.0)]"
